business_id,lat,lng,cluster,draw,is_bound,next_business
10453.0,40.02657186,116.3297504,13.0,1.0,1.0,21875.0
21875.0,40.02817716,116.327739,13.0,1.0,1.0,14076.0
14076.0,40.03160865,116.3300716,13.0,1.0,1.0,14525.0
14525.0,40.0349884,116.3420307,13.0,1.0,1.0,9258.0
9258.0,40.02831099,116.3452037,13.0,1.0,1.0,4846.0
267.0,39.86303613,116.3457174,14.0,1.0,1.0,6887.0
6887.0,39.86784214,116.3444639,14.0,1.0,1.0,12172.0
12172.0,39.86876044,116.3468733,14.0,1.0,1.0,22189.0
22189.0,39.86888445,116.3482561,14.0,1.0,1.0,7164.0
7164.0,39.86562009,116.3517427,14.0,1.0,1.0,1986.0
1986.0,39.86474735,116.352398,14.0,1.0,1.0,17311.0
17311.0,39.86462414,116.3522444,14.0,1.0,1.0,267.0
3119.0,39.98816446,116.3102726,15.0,1.0,1.0,7550.0
7550.0,39.97872317,116.313673,15.0,1.0,1.0,3516.0
3516.0,39.97367754,116.3127381,15.0,1.0,1.0,29208.0
29208.0,39.97361527,116.3120543,15.0,1.0,1.0,28831.0
28831.0,39.97353621,116.3005588,15.0,1.0,1.0,10719.0
10719.0,39.97443835,116.2992729,15.0,1.0,1.0,16946.0
16946.0,39.97735469,116.2980387,15.0,1.0,1.0,12667.0
12667.0,39.98243572,116.2968839,15.0,1.0,1.0,11177.0
11177.0,39.98442205,116.297163,15.0,1.0,1.0,16057.0
16057.0,39.98601058,116.2974812,15.0,1.0,1.0,16973.0
16973.0,39.98937863,116.3045319,15.0,1.0,1.0,3119.0
5972.0,39.91365523,116.2944285,16.0,1.0,1.0,17520.0
17520.0,39.91385673,116.2945697,16.0,1.0,1.0,10287.0
10287.0,39.91373888,116.2954539,16.0,1.0,1.0,16343.0
16343.0,39.91167595,116.3005529,16.0,1.0,1.0,16376.0
16376.0,39.90803243,116.3032056,16.0,1.0,1.0,18555.0
18555.0,39.90561846,116.3023852,16.0,1.0,1.0,8538.0
8538.0,39.90405676,116.3008344,16.0,1.0,1.0,6806.0
6806.0,39.90484181,116.2942443,16.0,1.0,1.0,34813.0
34813.0,39.90535646,116.2933387,16.0,1.0,1.0,20599.0
20599.0,39.90546904,116.2931787,16.0,1.0,1.0,9366.0
9366.0,39.90624085,116.2926732,16.0,1.0,1.0,12413.0
12413.0,39.91148581,116.2932631,16.0,1.0,1.0,5972.0
1839.0,39.90672403,116.3512779,17.0,1.0,1.0,7781.0
7781.0,39.91001317,116.3485974,17.0,1.0,1.0,4511.0
4511.0,39.91165082,116.3476325,17.0,1.0,1.0,13456.0
13456.0,39.91544809,116.3467818,17.0,1.0,1.0,2212.0
2212.0,39.91881162,116.3505085,17.0,1.0,1.0,3356.0
3356.0,39.91899506,116.3576865,17.0,1.0,1.0,21288.0
21288.0,39.9166316,116.3596471,17.0,1.0,1.0,20709.0
20709.0,39.910572,116.3560876,17.0,1.0,1.0,27159.0
27159.0,39.90750802,116.3523186,17.0,1.0,1.0,1839.0
200.0,39.95817403,116.3208098,18.0,1.0,1.0,2890.0
2890.0,39.96013575,116.311533,18.0,1.0,1.0,8314.0
8314.0,39.97006578,116.3109257,18.0,1.0,1.0,29134.0
29134.0,39.97050028,116.3135421,18.0,1.0,1.0,706.0
706.0,39.97109955,116.318715,18.0,1.0,1.0,564.0
564.0,39.96967343,116.3237152,18.0,1.0,1.0,35312.0
35312.0,39.96841568,116.327696,18.0,1.0,1.0,727.0
727.0,39.9638663,116.3296235,18.0,1.0,1.0,200.0
1068.0,39.93090929,116.4524961,19.0,1.0,1.0,13256.0
13256.0,39.91763575,116.4445528,19.0,1.0,1.0,30694.0
30694.0,39.9159842,116.4432012,19.0,1.0,1.0,26018.0
26018.0,39.91488143,116.4388257,19.0,1.0,1.0,11431.0
11431.0,39.91490934,116.4359671,19.0,1.0,1.0,15284.0
15284.0,39.91547156,116.4301118,19.0,1.0,1.0,17563.0
17563.0,39.91636043,116.4293971,19.0,1.0,1.0,9072.0
9072.0,39.92193549,116.4261114,19.0,1.0,1.0,6850.0
6850.0,39.9257804,116.4242326,19.0,1.0,1.0,3686.0
3686.0,39.93574691,116.4326439,19.0,1.0,1.0,19247.0
19247.0,39.93875707,116.4367655,19.0,1.0,1.0,4078.0
4078.0,39.93776182,116.4477707,19.0,1.0,1.0,32847.0
32847.0,39.93122433,116.4523112,19.0,1.0,1.0,1068.0
6909.0,39.98502824,116.326602,20.0,1.0,1.0,15108.0
15108.0,39.99098873,116.3201142,20.0,1.0,1.0,9771.0
9771.0,39.99714077,116.3319063,20.0,1.0,1.0,31902.0
31902.0,39.99749475,116.3327795,20.0,1.0,1.0,13634.0
13634.0,39.99483215,116.3358059,20.0,1.0,1.0,29293.0
29293.0,39.99284815,116.3364259,20.0,1.0,1.0,35267.0
35267.0,39.98759499,116.3362417,20.0,1.0,1.0,21057.0
21057.0,39.98715216,116.3356673,20.0,1.0,1.0,7447.0
7447.0,39.98588752,116.3326488,20.0,1.0,1.0,17847.0
17847.0,39.98489398,116.3270327,20.0,1.0,1.0,6909.0
603.0,39.92369153,116.4086862,21.0,1.0,1.0,22981.0
22981.0,39.92328155,116.406621,21.0,1.0,1.0,9088.0
9088.0,39.92605281,116.4005394,21.0,1.0,1.0,33842.0
33842.0,39.92911179,116.3989485,21.0,1.0,1.0,34222.0
34222.0,39.93070951,116.3990018,21.0,1.0,1.0,14982.0
14982.0,39.93334471,116.401325,21.0,1.0,1.0,34253.0
34253.0,39.93428293,116.4086634,21.0,1.0,1.0,30894.0
30894.0,39.93434511,116.4092261,21.0,1.0,1.0,11917.0
11917.0,39.93427337,116.4113196,21.0,1.0,1.0,9689.0
9689.0,39.93218075,116.4146545,21.0,1.0,1.0,800.0
800.0,39.92701711,116.4152505,21.0,1.0,1.0,4420.0
4420.0,39.92649885,116.4148947,21.0,1.0,1.0,603.0
3127.0,39.89058483,116.3961604,22.0,1.0,1.0,26040.0
